Institute,Keywords,Project,Geographic Reach,Funding Amount,3 year savings,Summary,Category,Stage,Model,url,Unique ID
Regents Of The University Of California San Francisco,"Health Care Innovation Awards Round Two, HCIA Round Two, Regents Of The University Of California San Francisco, California, CA, Nebraska, NE, CMS Region 9, CMS Region 7",The UCSF and UNMC Dementia Care Ecosystem: Using Innovative Technologies to Personalize and Deliver Coordinated Dementia Care,"California, Nebraska","9,990,848.00",,"The Regents of the University of California San Francisco project will implement Care Ecosystem, an innovative clinical program that builds on the UCSF Memory and Aging Center's 15-year history of offering high-quality dementia care, while incorporating the University of Nebraska Medical Center’s specialized expertise in functional monitoring and rural dementia care. Whereas most dementia care today is crisis-oriented and reactive, this model emphasizes continuous and personalized care. The target population is Medicare beneficiaries and persons dually eligible for Medicare and Medicaid.  By supporting family caregivers, keeping patients healthy, and helping them prepare together for advancing illness, this model aims to improve satisfaction with care, prevent emergency-related health care costs, and keep patients in the home longer. The primary point of contact for patients and families will be a Care Team Navigator (CTN) with 24/7 availability. An innovative ""dashboard"" with both CTN and patient portals will drive efficient and personalized communication between the CTN, care team, and the patient and family. The 4 modules of Care Ecosystem are as follows. The Caregiver Module will include educational forums and connect families with community resources. The Decision-Making Module will facilitate proactive medical, financial, and safety decisions. The Medication Module will track and reduce inappropriate medications or doses and trigger a pharmacist review when indicated. The Functional Monitoring module will use smartphones and sensors to rapidly detect and respond to changes in functional status, which is particularly important for patients living remotely, alone, or who are at-risk for acute declines.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards Round Two,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards-Round-Two/Regents-Of-The-University-Of-California-San-Francisco.html,144
Southeast Mental Health Services,"Health Care Innovation Awards, HCIA, Colorado, CO, community-based care, high-risk populations, rural, patient navigators, primary care, bahavioral care, self-management, ER, project manager, Southeast Mental Health Services, CMS Region 8","TIPPING POINT: Total Integration, Patient Navigation and Provider Training Project for Powers County, Colorado",Colorado,"1,405,924.00","1,875,000.00","Southeast Mental Health Services received an award to coordinate comprehensive, community-based care for high-risk, high-cost, and chronically ill residents of rural Prowers County, Colorado. The program employs Bachelor-level trained patient navigators to increase patients' access to primary and behavioral care, preventive care, and early intervention services, offering team-based education and coaching to improve both population health and self-management of disease. The results will include a reduction in emergency room visits and other high cost interventions, mitigation of the progress of chronic disease, better health habits, and better care and quality of life for these vulnerable patients. Southeast Mental Health Services is contracting with Otero Junior College to provide a “Health Navigator” training program to serve current and future healthcare workers across rural Colorado. Over a three-year period, Southeast Mental Health Service's program will train an estimated 62 workers and create an estimated 8.25 FTE jobs. The new workers will include health navigators, instructors, a marketing/communications assistant, and a project manager.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/Southeast-Mental-Health-Services.html,124
University Hospitals of Cleveland,"Health Care Innovation Awards, HCIA, Ohio, OH, children, pediatrics, Medicaid, ER, behavioral care, care coordination, telehealth, primary care, hospitalizations, nurses, chronic disease management, University Hospitals of Cleveland, CMS Region 5",Transforming pediatric ambulatory care: the physician extension team,Ohio,"12,774,935.00","13,500,000.00","University Hospitals Rainbow Babies & Children’s Hospital received funding to create a pediatric program to improve care, overall health and lower costs for children in Northeast Ohio. Rainbow Care Connection is one of the first pediatric accountable care organizations (ACO) in the country.   Rainbow Care Connection is a new type of multidisciplinary model geared to produce needed change in pediatric ambulatory care. The model creates meaningful relationships across pediatric primary care providers, hospitals, patients and managed care organizations to drive change and achieve the three objectives of better care, better health and lower cost.  Rainbow Care Connection will impact 200,000 children in northeast Ohio, one-third of whom will be Medicaid enrollees, and will create a sustainable pediatric ambulatory care system that improves health, improves care and reduces costs. Specific goals include: increase primary care provider adherence to evidence-based national quality measures; improve care and health of children with complex chronic conditions through an innovative broad comprehensive care coordination program; improve access and coordination of behavioral health services; and decrease avoidable emergency department visits and hospitalizations.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/University-Hospitals-Of-Cleveland.html,125
University of Iowa,"Health Care Innovation Awards, HCIA, Iowa, IA, rural, care coordination, Medicare, Medicaid, psychiatric disorders, heart disease, kidney disease, cancer, endocrine disorders, nurses, social workers, pharmacists, telehealth, care transitions, hospitalizations, project manager, community coordinator, University of Iowa, CMS Region 7",Transitional care teams to improve quality and reduce costs for rural patients with complex illness,Iowa,"7,662,278.00","12,500,000.00","The University of Iowa, in partnership with 10 Critical Access Hospitals(CAHs), is improving care coordination and communication with practitioners in nine rural Iowa counties. The program serves adults in these counties and selected contiguous catchment areas in which a CAH serves large numbers of patients.  Adults are served without regard to whether they are Medicare, Medicaid, Medicare/Medicaid dual-eligible beneficiaries privately insured or uninsured. The aim is to assist adults with complex illness being discharged from the University of Iowa Hospitals & Clinics from psychiatric and internal medicine departments.  Their complex issues may include psychiatric disorders, heart disease, kidney disease, endocrine and gastrointestinal disorders, pulmonary and geriatric issues. The program coordinates care through teams comprised of nurses, social workers, and pharmacists along with specialty physicians (including psychiatrists) using a care coordination protocol that informs, facilitates and ensures post discharge care and incorporating telehealth and web-based personal health records. The program is based on the University of Iowa's significant past experience in care coordination and creating telehealth care teams for patients with diabetes, chronic obstructive pulmonary disease, and heart failure. It will increase access to services and specialty care, improve care transitions and care coordination, and decrease avoidable hospital readmissions of complex patients in rural counties in Iowa.  Over a three-year period, the University of Iowa's program will train an estimated 22 workers and will create an estimated 28 jobs. The new hires will include 10 community care coordinators, two project managers, a program secretary, an outcomes analyst, a qualitative analyst, a database manager, nurse team leaders, social workers, and an informatics director.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/University-Of-Iowa.html,127
"ValueOptions, Inc.","Health Care Innovation Awards, HCIA, Massachusetts, MA, care coordination, detox, patient navigators, hospitalizations, ER, ValueOptions Inc., CMS Region 1",Using recovery peer navigators and incentives to improve substance abuse Medicaid client outcomes and costs,Massachusetts,"2,760,737.00","7,841,498.00","ValueOptions, Inc., with its subsidiary, Massachusetts Behavioral Health Partnership, received an award to test care coordination to reduce repeated utilization of detox services among beneficiaries who have 2 or more detox admissions. With Brandeis University as a research partner, the project uses patient navigators, recovery planning,and behavioral interventions to support member recovery. Four providers will implement the interventions, serving northeastern Massachusetts, southeastern Massachusetts, greater Boston, and the central portion of the state. By linking beneficiaries with appropriate treatment and recovery services, the model will improve their health outcomes, reducing costs by avoiding preventable emergency room visits, hospitalizations and detox readmissions.  Over a three-year period, ValueOptions, Inc.’s program will train an estimated 75 workers and will create an estimated 75 jobs. The new workers will include patient navigators and support staff.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/Valueoptions-Inc.html,131
Foundation For California Community Colleges,"Health Care Innovation Awards, HCIA, Alabama, AL, California, CA, Connecticut, CT, District of Columbia, DC, Maryland, MD, Massachusetts, MA, New York, NY, Puerto Rico, PR, primary care, Medicaid, chronic disease management, ER, hospitalizations, community health workers, project coordinators, research analyst, Foundation For California Community Colleges, CMS Region 4, CMS Region 9, CMS Region 1, CMS Region 3, CMS Region 2",Transitions clinic network:  linking high-risk Medicaid patients from prison to community primary care,"Alabama, California, Connecticut, District of Columbia, Maryland, Massachusetts, New York, Puerto Rico","6,852,153.00","8,115,855.00","City College of San Francisco (CCSF), University of California at San Francisco, and Yale University are collaborating to address the health care needs of high risk/high cost Medicaid and Medicaid-eligible individuals with chronic conditions released from prison. Targeting eleven community health centers in seven states and Puerto Rico, the program will work with the Department of Corrections to identify patients with chronic medical conditions prior to release and will use community health workers trained by City College of San Francisco to help these individuals navigate the healthcare system, find primary care and other medical and social services, and coach them in chronic disease management. The outcomes will include reduced reliance on emergency room care, fewer hospital admissions, and lower cost, with improved patient health and better access to appropriate care. Over a three-year period, this innovation will create an estimated 22 jobs and train an estimated 49 workers. The new workforce will include 12 community health workers, 11 part-time panel managers, two part-time project coordinators, one research analyst and two part-time project staff.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/Foundation-For-California-Community-Colleges.html,128
"Regents of the University of California, Los Angeles","Health Care Innovation Awards, HCIA, California, CA, dementia, Alzheimer’s, Medicare, Medicaid, hospitalizations, ER, nurse practitioners, dementia care managers, primary care, Regents of the University of California Los Angeles, CMS Region 9","UCLA Alzheimer’s and dementia care: comprehensive, coordinated, patient-centered",California,"3,208,540.00","6,900,000.00","The UCLA Alzheimer’s and Dementia Care is a coordinated, comprehensive, patient and family-centered program with the aims of achieving better health, better care and lower cost of care for patients with dementia. The program has five key components: 1. patient recruitment and a dementia registry; 2. structured needs assessments of patients and their caregivers; 3. creation and implementation of individualized dementia care plans; 4. monitoring and revising care plans as needed; and 5. providing access 24/7, 365 days a year for assistance and advice. The program’s geographic focus is the Western area of Los Angeles County where we have established partnerships with five community-based organizations (CBOs) that serve dementia patients. Three geriatric nurse practitioners have been hired as Dementia Care Managers who perform patient needs assessments and monitoring, formulating and revising care plans with input from the program’s medical director and in partnership with the referring physician.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/Regents-Of-The-University-Of-California.html,129
Board of Trustees of the University of Illinois,"Health Care Innovation Awards Round Two, HCIA Round Two, Board of Trustees of the University of Illinois, Illinois, IL, CMS Region 5",University of Illinois CHECK (Coordination of HEalthcare for Complex Kids),Illinois,"19,581,403.00",,"The Board of Trustees of the University of Illinois project will test a model that will build a ""medical neighborhood"" via a network of over 70 practices throughout Cook County.   This project will improve access to care by bringing care to patients where they live, work, and attend school. UI Health will be a convener of these closely-connected community partners. Multidisciplinary teams, including primary care physicians, specialists, behavioral health specialists, and clinical pharmacists, will collaborate to improve transitions and implement effective disease-specific interventions. Advanced Practice Nurses will lead care management teams and execute care plans with neighborhood-embedded patient navigators. They will use multiple tools, including technology, effective data management, systems redesign, and outreach and community engagement, to build bridges between care sites, care providers, and the family. ",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards Round Two,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards-Round-Two/Board-of-Trustees-of-the-University-of-Illinois.html,147
George Washington University,"Health Care Innovation Awards, HCIA, District of Columbia, DC, Maryland, MD, Virginia, VA, telemedicine, dialysis, health monitoring, care coordination, team-based care, access to care, adherence, hospitalizations, remote monitoring, George Washington University, CMS Region 3",Using Telemedicine in peritoneal dialysis to improve patient adherence and outcomes while reducing overall costs,"District of Columbia, Maryland, Virginia","1,939,127.00","1,700,000.00","George Washington University received an award to improve care for 300 patients on peritoneal dialysis in Washington, D.C., and eventually in Virginia and Maryland. The intervention will use telemedicine to offer real-time, continuous, and interactive health monitoring to improve patient safety and treatment. The model will train a dialysis nurse workforce in prevention, care coordination, team-based care, telemedicine, and the use of remote patient data to guide treatment for co-morbid, complex patients. This approach is expected to improve patient access to care, adherence to treatment, self-management, and health outcomes, while reducing cost of care for peritoneal dialysis patients with complex health care needs by reducing overall hospitalization days with estimated savings of approximately $1.7 million. Over the three-year period, George Washington University’s program will train an estimated three health care workers and create an estimated three new jobs. These workers will provide clinical support and health monitoring via the web to home dialysis patients.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/George-Washington-University.html,132
Memorial Hospital of Laramie County DBA Cheyenne Regional,"Health Care Innovation Awards, HCIA, Wyoming, WY primary care, primary care, high-risk populations, care coordination, community-based, care transitions, performance manager, nurses, financial analyst, Memorial Hospital of Laramie County DBA Cheyenne Regional, CMS Region 8",Wyoming: a frontier state's strategic partnership for transforming care delivery,Wyoming,"14,246,153.00","33,227,238.00","The Wyoming Institute of Population Health, a Division of the Memorial Hospital of Laramie County (d/b/a Cheyenne Regional Medical Center), has assembled five strategic partners to deploy population health strategies in communities across Wyoming, creating medical neighborhoods to transform rural care delivery. Focus is placed on patients, wellness, and evidence-based chronic care delivery. Twenty-eight transforming PCMHs function as the core of the medical neighborhoods facilitating care coordination, developing inter-professional care teams, developing individualized care plans for complex patients, and maintaining connections with community-based services for referral and follow-up. Pharmacists, linked virtually by telehealth to the PCMHs, assist in medication therapy management and patient education. Patients hospitalized for serious illness or injury have a particular need for continuity between sites of care and transitions are facilitated by registered nurses specially trained in rural care transitions. Wyoming’s innovative Medication Donation Program has been expanded statewide to link the un/under-insured to prescription assistance. Telemedicine is utilized to facilitate physician desktop solutions, improving access to specialists, enhancing coordination between sites of care, and supporting clinical decision making. Payers/Purchasers, including the state Medicaid program, are partnering to play key roles in providing incentives for care coordination and sustainability. Over 30 jobs have been created through this effort. For more information, visit www.cheyenneregional.org/hcia-app.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/Memorial-Hospital-Of-Laramie-County-Dba-Cheyenne-Regional.html,133
"Children's Hospital and Health System, Inc","Health Care Innovation Awards, HCIA, Wisconsin, WI, pediatric, culturally sensitive professional resources, culturally sensitive clinical resources, culturally sensitive social resources, Medicaid, CHIP, nurse navigators, community health navigators, primary care, ER, hospital admissions, program manager, Children's Hospital and Health System Inc, CMS Region 5",CCHP Advanced Wrap Network,Wisconsin,"2,796,255.00","2,851,266.00","Children’s Hospital and Health System received an award to create Care Links, which will support members of Children’s Community Health Plan (CCHP), the system’s Medicaid HMO in Southeast Wisconsin, as they navigate the health care system.  Care Links will allow community health navigators to educate and empower health plan members to navigate the health care system, connect with a primary care doctor and receive preventive care and appropriate screenings. Community health navigators will offer services to individuals and families who have had two ER visits within six months. A nurse navigator will work with health plan members diagnosed with asthma who have had one ER or one inpatient stay related to asthma. Both the community navigators and the nurse navigator will reinforce the availability of urgent care and CCHP’s 24/7 nurse advice line. The goal of Care Links is to reduce avoidable ER visits, improve health outcomes (specific HEDIS measures) and reduce cost. Over the three year period, Children’s Hospital and Health System will create nine jobs, including a program manager, community health navigators and nurse navigators.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards/Children-Hospital-And-Health-System-Inc.html,16
University of New Mexico Health Science Center ,"Health Care Innovation Awards Round Two, HCIA Round Two, University of New Mexico Health Science Center, New Mexico, NM, CMS Region 6",Access to Critical Cerebral Emergency Support Services (ACCESS),New Mexico,"15,120,767.00",,"The University of New Mexico Health Science Center project will test expansion of the existing tele-health infrastructure (11 hospitals) to form a statewide 30 hospital telehealth system (THS). In conjunction with Net Medical Xpress Solutions , the model test will provide remote emergency neurological consultation using inexpensive audiovisual equipment and software. The goal of this model is to prevent unnecessary transport to tertiary care hospitals when non-operative care is appropriate.  The Implementation of THS aims to improve the access to emergency neurological care statewide. Around the clock triage by on call ACCESS staff will allow rural emergency departments to improve timeliness of emergency care, decrease avoidable inpatient admissions, and prevent unnecessary transfers. ",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards Round Two,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards-Round-Two/University-of-New-Mexico-Health-Science-Center.html,166
Regents Of The University Of Michigan,"Health Care Innovation Awards Round Two, HCIA Round Two, Regents Of The University Of Michigan, Michigan, MI, CMS Region 5",Michigan Surgical and Health Optimization Program (MSHOP): A Multiplex Patient Risk Stratification and Intervention Program,Michigan,"6,389,850.00",,"The Regents of the University of Michigan project will implement the Michigan Surgical and Health Optimization Program (MSHOP), which focuses on- real-time risk stratification and peri-operative optimization for patients undergoing abdominal surgery. The model aims to improve surgical outcomes in two ways. (1) Real-time risk stratification aims to improve the appropriateness of surgery—in certain high-risk cases, patients and surgeons will avoid prohibitively high-risk surgical care, focusing on medical and palliative management. Further, real-time risk stratification can identify patients who would be good candidates for the peri-operative prehabilitation program. (2) This peri-operative program aims to enable patients to train for surgery, improving their physiology and mindset through an established outpatient program, leading to better outcomes and reduced costs by preventing complications and reducing length of stay.   Over the 3-year period MSHOP will be implemented in 40 Michigan hospitals.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards Round Two,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards-Round-Two/Regents-Of-The-University-Of-Michigan.html,145
Boston Medical Center ,"Health Care Innovation Awards Round Two, HCIA Round Two, Boston Medical Center, pediatric, Massachusetts, MA, CMS Region 1",Massachusetts Alliance for Complex Care (MACC),Massachusetts,"6,128,059.00",,"The Boston Medical Center project will test a Collaborative Care Coordination and Consultative Model for Complex Kids (the 4C, or ""Foresee"" Program) which pairs Complex Care Nurse Care Coordinators and Pediatricians at MACC sites in Boston and Springfield with pediatricians in the community to enhance and improve the care delivered to children with medical complexity in local medical home-like settings. Prior to enrolling in the MACC, families will undergo a comprehensive process of intake, multi-disciplinary assessment and care planning which will be used as the basis for a Comprehensive Care Plan for the child and family. All local pediatricians referring children to the MACC will also have access to consultation by a Psychiatrist, Developmental/Behavioral Pediatrics Specialist, Clinical Social Worker, and Nutritionist. Families will have access to the services of a Family Navigator to help them overcome access barriers, advocate for them, and coordinate among multiple agencies. Families will also have access to behavioral health services provided by the MACC for those in proximity to Boston Medical Center and Baystate and by referral for families in outlying areas. The complex care Pediatrician will see the patient at least once every six months and the Comprehensive Care Plan will be reviewed and revised at least once annually.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards Round Two,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards-Round-Two/Boston-Medical-Center.html,148
Washington University School of Medicine in St. Louis ,"Health Care Innovation Awards Round Two, HCIA Round Two, Washington University School of Medicine in St. Louis, Missouri, MO, CMS Region 7",A Contraceptive Center of Excellence: an innovative health services delivery and payment model,Missouri,"4,034,879.00",,"The Washington University School of Medicine in St. Louis project will test an intervention that aims to provide quality family planning services to women who are at the highest risk for unintended pregnancy using a contraceptive provision model developed by the Contraceptive CHOICE Project (CHOICE). CHOICE demonstrated that removing barriers to choice of contraception increased the use of long-acting reversible contraception and significantly reduced the rate of unintended pregnancies.  This project will test  implementation of the CHOICE model for primarily Medicaid beneficiaries in the St. Louis area including: 1) structured, evidence-based contraceptive counseling; 2) education of providers about long-acting reversible contraceptive methods and evidence-based guidelines for contraceptive provision; 3) removal of patient barriers to family planning services; and 4) post-visit contraceptive support. ",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards Round Two,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards-Round-Two/Washington-University-School-of-Medicine-in-St-Louis.html,170
Avera Health,"Health Care Innovation Awards Round Two, HCIA Round Two, Avera Health, South Dakota, SD, Minnesota, MN, Iowa, IA, Nebraska, NE, CMS Region 8, CMS Region 5, CMS Region 7",Avera Virtual Care Center: Improving Care & Reducing Costs for the Vulnerable Elderly Population,"South Dakota, Minnesota, Iowa, Nebraska","8,827,573.00",,"The Avera Virtual Care Center project will test the virtual wrapping of a set of comprehensive, resident-centered, geriatric care services around the long term care population.  The project will operate in facilities located in South Dakota, Minnesota, Iowa and Nebraska.   The three primary drivers of this project include: building the assessment capability and toolkits of the long term care team of care providers; providing long term care facility residents with routine and early access to appropriate goal-directed care; and improving management of care transitions. A Virtual Care Team will host INTERACT II training sessions and skill building workshops for long term care staff and will facilitate widespread implementation of INTERACT II tools and treatment algorithms to support earlier identification of urgent issues. The INTERACT II implementation will be further supported by high-quality care planning resources and training to promote alignment of resident care goals and treatment plans. To address the geriatric care access gap, the Virtual Care Team will offer daily rounds, comprehensive geriatric assessments and urgent care visits to address resident health needs in a timely manner. These services will be provided out of a centrally staffed telemedicine hub, spreading the expertise of one team over 30 long term care centers. To maximize safety and continuity across transitional points in care, the Virtual Care Center team will promote the adoption of standardized tools and processes.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards Round Two,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards-Round-Two/Avera-Health.html,137
University of North Carolina at Chapel Hill ,"Health Care Innovation Awards Round Two, HCIA Round Two, University of North Carolina at Chapel Hill, NC, CMS Region 4",Better Back Care: A Comprehensive Strategy for Improving Function and Outcomes While Reducing Overutilization and Costs,North Carolina,"6,034,888.00",,"The University of North Carolina at Chapel Hill project will test the implementation of Better Back Care (BBC), a new care delivery model for new onset low back pain that aims to improve the patient's experience and outcomes, reduce cost of care, and deliver a supporting outpatient bundled payment methodology. BBC leverages evidence-based care in a medical neighborhood of primary and specialty care providers through a patient-centered coordinated care model that supports and educates patients and includes them in treatment decisions. The model will utilize patient education and shared decision making tools, as well as nurse patient navigators, who will coordinate with primary care providers.  Over the award period, BBC aims to improve adherence to evidence-based, patient-centered practices leading to improved clinical outcomes and satisfaction, while reducing the use of imaging, injections, and surgery for patients in a five-county area of North Carolina.  BBC plans to create a medical neighborhood linking approximately 60 primary care providers in general internal medicine, family medicine, and geriatrics, with the UNC spine program, an existing multidisciplinary team of 10 specialty providers employing evidence-based, patient-centered approaches. ",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards Round Two,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards-Round-Two/University-of-North-Carolina-at-Chapel-Hill.html,167
Montefiore Medical Center ,"Health Care Innovation Awards Round Two, HCIA Round Two, Montefiore Medical Center, New York, NY, CMS Region 2",Bronx Behavioral Health Integration Project (BHIP): Across the Lifespan in Urban Safety Net Primary Care Settings ,New York,"5,583,091.00",,"The Montefiore Medical Center project will test implementation of the Bronx Behavioral Health Integration Project (B-HIP), which aims to improve the health of Bronx residents through two interrelated mechanisms, first by engaging patients with serious behavioral health needs and secondly by screening for, identifying and addressing behavioral health co-morbidities in a Collaborative Care Management (CCM) model.  The target population includes Medicare, Medicaid beneficiaries and persons eligible for both programs.  As part of routine primary care, patients of all ages will be screened for behavioral health conditions using validated instruments. Those with behavioral health needs will be managed by an CCM team of a primary care physician, psychiatrist, social worker or psychologist and care manager that supports the primary care team by providing screening, assessments, treatment and follow-up care with measurement-based tracking, stepped care algorithms and self-management and behavioral action techniques.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards Round Two,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards-Round-Two/Montefiore-Medical-Center.html,156
Icahn School Of Medicine At Mount Sinai,"Health Care Innovation Awards Round Two, HCIA Round Two, Altarum Institute, New York, NY, CMS Region 2",Bundled Payment for Mobile Acute Care Team Services,New York,"9,619,517.00",,"The Icahn School of Medicine at Mount Sinai project will test Mobile Acute Care Team (MACT) Services, which will utilize the expertise of multiple providers and services already in existence in most parts of the United States but will transform their roles to address acute care needs in an outpatient setting. MACT is based on the hospital-at-home model, which has proven successful in a variety of settings.  MACT will treat patients requiring hospital admission for selected conditions at home. The core MACT team will involve physicians, nurse practitioners, registered nurses, social work, community paramedics, care coaches, physical therapy, occupational therapy and speech therapy, and home health aides. The core MACT team will provide essential ancillary services such as community-based radiology, lab services (including point of care testing), nursing services, durable medical equipment, pharmacy and infusion services, telemedicine, and interdisciplinary post-acute care services for 30 days after admission. After 30 days, the team will ensure a safe transition back to community providers and provide referrals to appropriate services.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards Round Two,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards-Round-Two/Icahn-School-Of-Medicine-At-Mount-Sinai.html,141
Amerigroup ,"Health Care Innovation Awards Round Two, HCIA Round Two, Amerigroup, Georgia, GA, CMS Region 4",Coaching and Comprehensive Health Supports (COACHES) Program,Georgia,"5,834,485.00",,"The Amerigroup project will test an intervention designed to improve outcomes for transitional young adults ages 17 to 20, who are transitioning out of foster care and who will receive health care coverage until the age of 26 for the first time under the ACA. The program will establish one-on-one coaches, and a support team, who will partner with transitional young adults over the life of the grant period to improve healthy behaviors. The coaches and support team will coordinate with the state's sole Care Management Organization and the case management in the child welfare system provided through Georgia's Division of Family and Children Services. The coach and support team will be a one-stop resource, in which all of the health and social services needed by the youth are pooled and coordinated and through which the members are connected to the scope of services they need. Aims of the program include reductions in hospitalizations through better management of behavioral health conditions, increases in access to primary care physicians, as well as improvement in pregnancy-related outcomes, employment, and education attainment.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards Round Two,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards-Round-Two/Amerigroup.html,146
City of Mesa Fire and Medical Department ,"Health Care Innovation Awards Round Two, HCIA Round Two, City of Mesa Fire and Medical Department, Arizona, AZ, CMS Region 9",Community Care Response Initiative,Arizona,"12,515,727.00",,"The City of Mesa Fire and Medical Department is receiving an award to test a model that offers new comprehensive delivery systems and addresses the impact of chronic disease, falls prevention, self-management skills, and medication adherence. The model aims to reduce high-risk patient returns post-discharge and the treat and referral of low-acuity patients from the use of the 911 systems and the emergency department. The program provides low acuity patients with on-site evaluation and treatment; and/or refers patients to more appropriate services, which reduce duplication efforts between emergency rooms and private physician providers. High-risk patients will receive follow up evaluations after discharge to reduce the incidence of readmission. Disease preventative services will be provided including immunizations, falls prevention, home safety inspection, and the safe use of prescribed medications. The Community Care Response Initiative will consist of four units operating 24 hours per day 365 days per year throughout the Mesa area. A physician extender unit is a modified ambulance that takes the team to perform low acuity services or post discharge hospital follow-up. The services provided by this unit are similar to services provided by an urgent care: in depth patient evaluations, behavioral health evaluations, suturing, minor trauma evaluations, cardiac diagnostic capabilities, pain management, prescription services, immunizations, health education, referral services, primary care consultations, sepsis evaluations, post discharge follow ups, and minor diagnostic testing.",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards Round Two,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards-Round-Two/City-of-Mesa-Fire-and-Medical-Department.html ,151
Johns Hopkins University ,"Health Care Innovation Awards Round Two, HCIA Round Two, Johns Hopkins University, Maryland, MD, CMS Region 3",Comprehensive home-based dementia care coordination for Medicare-Medicaid Dual Eligibles in Maryland,Maryland,"6,384,190.00",,"The Johns Hopkins University project will test the implementation of Maximizing Independence at Home (MIND), an Alzheimer’s disease / Dementia (AD) -targeted care coordination model that systematically assesses and addresses the critical barriers to adults with AD remaining in their home. The target population is adults eligible for Medicare and Medicaid (Duals) in the Baltimore region.  The model creates a broad link between community health agencies, medical providers and community resources, and innovatively synthesizes the expertise and experience of non-clinical community workers, nurses, physicians, and occupational therapists. Delivered over 18 months, MIND addresses 21 care need domains for patients and caregivers. The interdisciplinary team performs comprehensive, in-home, AD-related needs assessments followed by individualized care planning and implementation of six basic care strategies (resource referrals, environmental safety, dementia care education, behavior management skills training, informal counseling, problem-solving), on-going monitoring, and assessment and planning for emergent needs. Each component of the intervention is based on clinical practice guidelines and prior research, and is combined for maximum impact. ",Initiatives to Accelerate the Development and Testing of New Payment and Service Delivery Models,Ongoing,Health Care Innovation Awards Round Two,http://innovation.cms.gov/initiatives/participant/Health-Care-Innovation-Awards-Round-Two/Johns-Hopkins-University.html,155
